Experiment,Channel,Section,Treatment,Position,Rhyacophilidae,Polycentropodidae,Total_Prim_Cons,Chironomidae,Hydropsychidae,Baetidae,Simuliidae,Planorbidae,Primary_production,Total_Decomposition,Microbial_Decomposition
Exp_1_Experimental_Streams,A,2,Sham_NoFish,A,60,10,198,138,25,17,18,0,0.766666667,0.035957329,0.022479043
Exp_1_Experimental_Streams,A,2,Sham_NoFish,B,27,10,204,165,35,2,2,0,0.676666667,0.028102739,0.01925736
Exp_1_Experimental_Streams,A,2,Sham_NoFish,C,19,23,357,260,88,0,9,0,NA,0.028060809,0.019679273
Exp_1_Experimental_Streams,A,2,Sham_NoFish,D,9,14,236,217,19,0,0,0,3.173333333,0.032290424,0.018996536
Exp_1_Experimental_Streams,A,2,Sham_NoFish,E,0,1,189,170,2,0,0,17,2.44,0.026876565,0.018983478
Exp_1_Experimental_Streams,A,5,GH_NoFish,A,32,12,659,218,376,35,28,2,0.343333333,0.030150864,0.02188509
Exp_1_Experimental_Streams,A,5,GH_NoFish,B,39,2,380,144,163,39,34,0,0.35,0.035191096,0.020415211
Exp_1_Experimental_Streams,A,5,GH_NoFish,C,27,4,1243,821,398,3,12,9,0.486666667,0.033890881,0.021534906
Exp_1_Experimental_Streams,A,5,GH_NoFish,D,6,1,327,116,185,18,0,8,0.396666667,0.031780716,0.022828361
Exp_1_Experimental_Streams,A,5,GH_NoFish,E,4,5,218,143,70,4,1,0,0.413333333,0.028806816,0.018934522
Exp_1_Experimental_Streams,B,8,GH_NoFish,A,22,8,640,144,338,83,75,0,0.273333333,0.030171946,0.029687731
Exp_1_Experimental_Streams,B,8,GH_NoFish,B,5,5,209,52,93,7,10,47,0.39,0.030712528,0.026528536
Exp_1_Experimental_Streams,B,8,GH_NoFish,C,30,0,741,523,150,17,49,2,0.356666667,0.033211648,0.027589189
Exp_1_Experimental_Streams,B,8,GH_NoFish,D,11,0,278,73,146,22,31,6,0.53,0.027959416,0.025759216
Exp_1_Experimental_Streams,B,8,GH_NoFish,E,9,3,921,512,329,26,22,32,0.383333333,0.025792627,0.022013494
Exp_1_Experimental_Streams,B,11,Sham_NoFish,A,9,7,200,38,93,18,49,2,0.94,0.023208263,0.02600969
Exp_1_Experimental_Streams,B,11,Sham_NoFish,B,10,2,149,22,100,13,14,0,0.94,0.029931951,0.025920411
Exp_1_Experimental_Streams,B,11,Sham_NoFish,C,67,0,1005,365,323,97,220,0,0.75,0.023808979,0.030617025
Exp_1_Experimental_Streams,B,11,Sham_NoFish,D,16,2,294,103,139,20,20,12,0.73,0.025762427,0.029207656
Exp_1_Experimental_Streams,B,11,Sham_NoFish,E,18,3,220,142,38,14,26,0,1.193333333,0.028807743,0.021940663
