Experiment,Channel,Section,Treatment,Position,Rhyacophilidae,Polycentropodidae,Total_Prim_Cons,Chironomidae,Hydropsychidae,Baetidae,Simuliidae,Planorbidae
Exp_1_Experimental_Streams,A,1,Sham,A,12,260,739,640,55,6,20,18
Exp_1_Experimental_Streams,A,1,Sham,B,16,75,422,321,62,8,11,20
Exp_1_Experimental_Streams,A,1,Sham,D,22,80,1214,935,39,3,31,206
Exp_1_Experimental_Streams,A,4,GH,A,12,74,540,399,89,6,25,21
Exp_1_Experimental_Streams,A,4,GH,B,9,110,831,679,94,4,29,25
Exp_1_Experimental_Streams,A,4,GH,D,5,150,1915,1716,81,7,35,76
Exp_1_Experimental_Streams,B,7,GH,A,24,230,775,404,95,31,231,14
Exp_1_Experimental_Streams,B,7,GH,B,7,145,464,334,77,10,35,8
Exp_1_Experimental_Streams,B,7,GH,D,7,96,1280,1065,96,10,9,100
Exp_1_Experimental_Streams,B,10,Sham,A,19,164,632,447,94,14,31,46
Exp_1_Experimental_Streams,B,10,Sham,B,17,125,753,601,85,12,15,40
Exp_1_Experimental_Streams,B,10,Sham,D,9,100,596,476,77,6,8,29
