Experiment,Channel,Section,Treatment,Status,Body_Mass,Growth_Rate_SGRW_Before_Release,Growth_Rate_SGRW_After_Release
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,7.55,1.701194789,1.986693433
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,9.37,1.781523069,1.951697731
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,6.08,1.674224574,1.21646398
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,6.63,1.581655329,1.350321947
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,4.63,2.667139169,0.79037928
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,12.14,2.311121801,2.478201812
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,5.27,1.178440624,1.070779086
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,6.13,1.209282402,1.332914679
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,3.86,-0.260704922,0.933318011
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,4.99,0.705492403,1.321350713
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,5.42,0.860797127,1.460856412
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,12.29,2.139292676,2.043972753
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,11.3,1.44655224,2.435336861
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,11.18,1.837811959,2.45255773
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,10.7,1.250568273,2.334952132
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,12.43,1.778154375,2.381001928
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,13.16,1.850854748,2.717954788
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,12.57,2.369659695,1.793395452
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,9.5,2.358024855,2.444814702
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,13.73,2.596866102,1.927332859
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,15.1,1.894751232,2.854726639
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,11.05,1.776107258,2.281167152
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,4.01,2.005045779,0.96731119
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,8.12,1.3499955,1.382251041
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,10.21,1.872736198,1.61802663
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,8.96,1.718795609,1.821564374
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,15.03,1.98255865,2.946875398
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,6.6,1.963314907,2.006291
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,5.1,1.387840241,1.190872064
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,4.73,1.30915315,1.216086096
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,5.1,1.058250524,1.362775279
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,7.02,1.477584437,1.681370164
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,5.46,1.228678078,1.235720913
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,4.71,0.927508587,1.63894566
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,5.25,1.671910025,0.232252138
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,3.93,0.277072282,1.178382947
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,19.14,2.519831196,2.741056489
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,7.16,2.03067965,1.60730025
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,6,1.291729453,1.142106411
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,18.12,1.938670764,3.69193342
Exp_1_Experimental_Streams,A,1,Sham,Recaptured,7.92,NA,1.915179351
Exp_1_Experimental_Streams,A,4,GH,Recaptured,10.23,2.827314818,1.748380555
Exp_1_Experimental_Streams,A,4,GH,Recaptured,7.7,3.317941263,1.393873393
Exp_1_Experimental_Streams,A,4,GH,Recaptured,7.93,2.853194332,1.744864281
Exp_1_Experimental_Streams,A,4,GH,Recaptured,6.11,2.149808479,1.372627196
Exp_1_Experimental_Streams,A,4,GH,Recaptured,9.93,3.086506452,1.829332049
Exp_1_Experimental_Streams,A,4,GH,Recaptured,7.92,2.928758915,1.575334501
Exp_1_Experimental_Streams,A,4,GH,Recaptured,12.58,2.580754281,1.697813114
Exp_1_Experimental_Streams,A,4,GH,Recaptured,9.32,2.918616089,1.456565197
Exp_1_Experimental_Streams,A,4,GH,Recaptured,12.8,3.639153885,1.779553431
Exp_1_Experimental_Streams,A,4,GH,Recaptured,18.61,2.11790694,3.03751538
Exp_1_Experimental_Streams,A,4,GH,Recaptured,11.93,2.934863959,1.461999731
Exp_1_Experimental_Streams,A,4,GH,Recaptured,11.22,3.005497283,2.01659817
Exp_1_Experimental_Streams,A,4,GH,Recaptured,8.47,3.438586815,1.121949591
Exp_1_Experimental_Streams,A,4,GH,Recaptured,13.36,2.493855824,1.715670881
Exp_1_Experimental_Streams,A,4,GH,Recaptured,11.51,3.191878871,1.810187558
Exp_1_Experimental_Streams,A,4,GH,Recaptured,9.03,2.529710561,2.096364011
Exp_1_Experimental_Streams,A,4,GH,Recaptured,9.22,2.253864297,1.776227067
Exp_1_Experimental_Streams,A,4,GH,Recaptured,10.44,2.722079327,1.562310241
Exp_1_Experimental_Streams,A,4,GH,Recaptured,6.26,2.978194437,0.791001111
Exp_1_Experimental_Streams,A,4,GH,Recaptured,9.99,2.467353231,1.586738074
Exp_1_Experimental_Streams,A,4,GH,Recaptured,11.29,2.289460293,1.565291501
Exp_1_Experimental_Streams,A,4,GH,Recaptured,9.01,3.421878924,1.920637647
Exp_1_Experimental_Streams,A,4,GH,Recaptured,9.64,2.36247009,1.931972603
Exp_1_Experimental_Streams,A,4,GH,Recaptured,6.47,3.183445123,1.150453535
Exp_1_Experimental_Streams,A,4,GH,Recaptured,11.92,3.508926287,2.043724902
Exp_1_Experimental_Streams,A,4,GH,Recaptured,9.65,3.579937031,1.6838673
Exp_1_Experimental_Streams,A,4,GH,Recaptured,8.01,2.731000966,1.494505516
Exp_1_Experimental_Streams,A,4,GH,Recaptured,10.42,2.296276694,1.411273724
Exp_1_Experimental_Streams,A,4,GH,Recaptured,9.36,3.839551709,1.674596009
Exp_1_Experimental_Streams,A,4,GH,Recaptured,7.56,2.996594543,0.868033206
Exp_1_Experimental_Streams,A,4,GH,Recaptured,8.59,3.249659783,1.080393371
Exp_1_Experimental_Streams,A,4,GH,Recaptured,4.05,2.649835713,0.563965576
Exp_1_Experimental_Streams,A,4,GH,Recaptured,5.88,2.528029828,0.8250268
Exp_1_Experimental_Streams,A,4,GH,Recaptured,5.49,1.894751232,1.36588222
Exp_1_Experimental_Streams,A,4,GH,Recaptured,3.92,2.598199053,0.548095584
Exp_1_Experimental_Streams,A,4,GH,Recaptured,6.17,2.763976049,1.436035035
Exp_1_Experimental_Streams,A,4,GH,Recaptured,8.38,2.798406307,1.323976829
Exp_1_Experimental_Streams,A,4,GH,Recaptured,4.52,2.767519949,1.000815711
Exp_1_Experimental_Streams,A,4,GH,Recaptured,4.68,2.029802531,1.010649594
Exp_1_Experimental_Streams,A,4,GH,Recaptured,5.36,2.675703264,0.614588648
Exp_1_Experimental_Streams,A,4,GH,Recaptured,4.09,2.962802845,0.689291224
Exp_1_Experimental_Streams,A,4,GH,Recaptured,4.98,3.617454001,0.854066682
Exp_1_Experimental_Streams,A,4,GH,Recaptured,11.32,3.152951271,2.116868879
Exp_1_Experimental_Streams,A,4,GH,Recaptured,13.33,4.000349159,1.285963788
Exp_1_Experimental_Streams,B,7,GH,Recaptured,18.61,2.668817287,2.494404943
Exp_1_Experimental_Streams,B,7,GH,Recaptured,11.12,1.93539358,1.966925407
Exp_1_Experimental_Streams,B,7,GH,Recaptured,15.02,2.251926552,2.621239797
Exp_1_Experimental_Streams,B,7,GH,Recaptured,10.13,2.106798899,1.688016796
Exp_1_Experimental_Streams,B,7,GH,Recaptured,12.19,2.692868211,2.493120327
Exp_1_Experimental_Streams,B,7,GH,Recaptured,11.04,2.591981501,1.478608105
Exp_1_Experimental_Streams,B,7,GH,Recaptured,8.81,1.330012387,1.220206194
Exp_1_Experimental_Streams,B,7,GH,Recaptured,14.46,2.076755831,2.617893209
Exp_1_Experimental_Streams,B,7,GH,Recaptured,7.45,2.760221967,1.307984769
Exp_1_Experimental_Streams,B,7,GH,Recaptured,11.64,2.176643781,1.93873114
Exp_1_Experimental_Streams,B,7,GH,Recaptured,11.57,2.338844865,1.800213734
Exp_1_Experimental_Streams,B,7,GH,Recaptured,9.22,2.693033293,1.943825872
Exp_1_Experimental_Streams,B,7,GH,Recaptured,9.08,2.838406831,1.472567215
Exp_1_Experimental_Streams,B,7,GH,Recaptured,9.08,3.801301037,1.253779351
Exp_1_Experimental_Streams,B,7,GH,Recaptured,5.97,2.179204483,1.207115659
Exp_1_Experimental_Streams,B,7,GH,Recaptured,5.69,2.219862348,1.170306401
Exp_1_Experimental_Streams,B,7,GH,Recaptured,11.26,2.712978965,1.826933047
Exp_1_Experimental_Streams,B,7,GH,Recaptured,9.73,2.740740627,1.639292486
Exp_1_Experimental_Streams,B,7,GH,Recaptured,8.64,2.555304294,1.270539208
Exp_1_Experimental_Streams,B,7,GH,Recaptured,10.13,3.035703113,1.745315476
Exp_1_Experimental_Streams,B,7,GH,Recaptured,10.29,2.548095475,1.849658923
Exp_1_Experimental_Streams,B,7,GH,Recaptured,9.81,2.290029944,1.885111964
Exp_1_Experimental_Streams,B,7,GH,Recaptured,7.74,2.92010324,1.714586377
Exp_1_Experimental_Streams,B,7,GH,Recaptured,5.65,2.843921677,0.652482445
Exp_1_Experimental_Streams,B,7,GH,Recaptured,12.82,3.870904237,1.902746645
Exp_1_Experimental_Streams,B,7,GH,Recaptured,15.23,2.721535081,2.166846666
Exp_1_Experimental_Streams,B,7,GH,Recaptured,7.46,2.178495593,1.327364409
Exp_1_Experimental_Streams,B,7,GH,Recaptured,13.51,1.819945807,2.277328207
Exp_1_Experimental_Streams,B,7,GH,Recaptured,9.41,2.298800067,1.738009612
Exp_1_Experimental_Streams,B,7,GH,Recaptured,5.47,3.698031182,0.578898516
Exp_1_Experimental_Streams,B,7,GH,Recaptured,10.26,2.448338646,2.062629663
