Experiment,Tank_ID,Treatment,Final_Mass,Growth_Rate_SGRW
Exp_1_Hatchery_Conditions,1,GH,12.81,2.446841343
Exp_1_Hatchery_Conditions,1,GH,11.09,2.442009294
Exp_1_Hatchery_Conditions,1,GH,12.5,2.861794445
Exp_1_Hatchery_Conditions,1,GH,14.61,2.699594041
Exp_1_Hatchery_Conditions,1,GH,13.37,2.098435015
Exp_1_Hatchery_Conditions,1,GH,9.13,2.195830267
Exp_1_Hatchery_Conditions,1,GH,10.35,2.57265996
Exp_1_Hatchery_Conditions,1,GH,13.46,2.337339188
Exp_1_Hatchery_Conditions,1,GH,15.89,2.390293884
Exp_1_Hatchery_Conditions,1,GH,12.24,2.523712933
Exp_1_Hatchery_Conditions,1,GH,13.28,2.593440357
Exp_1_Hatchery_Conditions,1,GH,11.14,2.316100959
Exp_1_Hatchery_Conditions,1,GH,10.66,1.891251533
Exp_1_Hatchery_Conditions,1,GH,21.52,2.938629744
Exp_1_Hatchery_Conditions,1,GH,11.77,2.321794073
Exp_1_Hatchery_Conditions,1,GH,11.51,1.800227776
Exp_1_Hatchery_Conditions,1,GH,12.62,2.585675445
Exp_1_Hatchery_Conditions,1,GH,14,2.721612022
Exp_1_Hatchery_Conditions,1,GH,12.58,2.719741909
Exp_1_Hatchery_Conditions,1,GH,12.96,2.974238545
Exp_1_Hatchery_Conditions,1,GH,17.22,2.635694395
Exp_1_Hatchery_Conditions,1,GH,12.23,2.224132827
Exp_1_Hatchery_Conditions,1,GH,12.15,2.208319482
Exp_1_Hatchery_Conditions,1,GH,12.47,2.397723992
Exp_1_Hatchery_Conditions,2,GH,9.97,2.567007727
Exp_1_Hatchery_Conditions,2,GH,18.47,2.797452579
Exp_1_Hatchery_Conditions,2,GH,16.03,2.534660746
Exp_1_Hatchery_Conditions,2,GH,12.75,2.422140677
Exp_1_Hatchery_Conditions,2,GH,9.38,2.28129729
Exp_1_Hatchery_Conditions,2,GH,18.83,2.741903018
Exp_1_Hatchery_Conditions,2,GH,14.58,2.456079887
Exp_1_Hatchery_Conditions,2,GH,12.24,2.858615134
Exp_1_Hatchery_Conditions,2,GH,11.08,2.535858965
Exp_1_Hatchery_Conditions,2,GH,7.4,2.176056152
Exp_1_Hatchery_Conditions,2,GH,14.36,3.070388282
Exp_1_Hatchery_Conditions,2,GH,10.68,2.555598854
Exp_1_Hatchery_Conditions,2,GH,13.91,2.840830065
Exp_1_Hatchery_Conditions,2,GH,13.1,2.855823621
Exp_1_Hatchery_Conditions,2,GH,13.54,2.92363831
Exp_1_Hatchery_Conditions,2,GH,13.76,2.4300391
Exp_1_Hatchery_Conditions,2,GH,19.65,2.750825391
Exp_1_Hatchery_Conditions,2,GH,13.95,2.533498018
Exp_1_Hatchery_Conditions,2,GH,12.3,2.649191572
Exp_1_Hatchery_Conditions,2,GH,9.78,2.058125605
Exp_1_Hatchery_Conditions,2,GH,13.12,2.836730597
Exp_1_Hatchery_Conditions,2,GH,11.6,2.547922149
Exp_1_Hatchery_Conditions,2,GH,11.71,2.653352201
Exp_1_Hatchery_Conditions,2,GH,11.98,2.690118999
Exp_1_Hatchery_Conditions,3,GH,9.48,2.378156691
Exp_1_Hatchery_Conditions,3,GH,11.18,2.238846568
Exp_1_Hatchery_Conditions,3,GH,15.44,2.498577616
Exp_1_Hatchery_Conditions,3,GH,15.76,2.680970479
Exp_1_Hatchery_Conditions,3,GH,9.72,2.510235202
Exp_1_Hatchery_Conditions,3,GH,15.56,2.231817686
Exp_1_Hatchery_Conditions,3,GH,11.95,2.751619534
Exp_1_Hatchery_Conditions,3,GH,9.35,2.639580391
Exp_1_Hatchery_Conditions,3,GH,14.28,2.784993348
Exp_1_Hatchery_Conditions,3,GH,26.23,3.276503746
Exp_1_Hatchery_Conditions,3,GH,15.51,2.230767451
Exp_1_Hatchery_Conditions,3,GH,7.14,1.667014025
Exp_1_Hatchery_Conditions,3,GH,13.87,2.919271617
Exp_1_Hatchery_Conditions,3,GH,13.05,2.43709329
Exp_1_Hatchery_Conditions,3,GH,14.1,2.70225142
Exp_1_Hatchery_Conditions,3,GH,12.81,1.934772472
Exp_1_Hatchery_Conditions,3,GH,10.41,2.521680655
Exp_1_Hatchery_Conditions,3,GH,19.83,2.686193714
Exp_1_Hatchery_Conditions,3,GH,15.09,2.501421714
Exp_1_Hatchery_Conditions,3,GH,12.02,2.681284655
Exp_1_Hatchery_Conditions,3,GH,13.17,2.544047799
Exp_1_Hatchery_Conditions,3,GH,13.49,2.069133966
Exp_1_Hatchery_Conditions,3,GH,10.13,2.485119598
Exp_1_Hatchery_Conditions,3,GH,11,2.618013073
Exp_1_Hatchery_Conditions,4,GH,16.87,2.76931335
Exp_1_Hatchery_Conditions,4,GH,15.56,2.59172664
Exp_1_Hatchery_Conditions,4,GH,14.39,2.289518108
Exp_1_Hatchery_Conditions,4,GH,9.87,2.078819312
