Experiment,Channel,Section,Treatment,Body_Mass,WARP1,WARP2
Exp_1_Experimental_Streams,A,1,Sham,7.55,-0.013396037,-0.010388027
Exp_1_Experimental_Streams,A,1,Sham,6.08,-0.011848164,-0.01470761
Exp_1_Experimental_Streams,A,1,Sham,6.63,-0.014739,-0.00575404
Exp_1_Experimental_Streams,A,1,Sham,7.92,-0.021333428,-0.010981219
Exp_1_Experimental_Streams,A,1,Sham,4.63,-0.011581561,0.004087185
Exp_1_Experimental_Streams,A,1,Sham,12.14,-0.003471348,-0.005353898
Exp_1_Experimental_Streams,A,1,Sham,3.86,-0.021306252,-0.002994556
Exp_1_Experimental_Streams,A,1,Sham,4.99,-0.013229841,-0.000603228
Exp_1_Experimental_Streams,A,1,Sham,5.42,-0.018544874,0.001514332
Exp_1_Experimental_Streams,A,1,Sham,12.29,-0.006372138,-0.013151408
Exp_1_Experimental_Streams,A,1,Sham,11.3,0.0036006,-0.011302504
Exp_1_Experimental_Streams,A,1,Sham,11.18,-0.011147541,-0.004463641
Exp_1_Experimental_Streams,A,1,Sham,10.7,-0.001094377,-0.000818573
Exp_1_Experimental_Streams,A,1,Sham,12.43,0.002055013,-0.007925943
Exp_1_Experimental_Streams,A,1,Sham,13.16,0.014573301,-0.008558557
Exp_1_Experimental_Streams,A,1,Sham,9.5,-0.00820688,-0.018020795
Exp_1_Experimental_Streams,A,1,Sham,13.73,0.004661225,-0.0188812
Exp_1_Experimental_Streams,A,1,Sham,15.1,0.004362352,-0.010974824
Exp_1_Experimental_Streams,A,1,Sham,11.05,-0.000452128,-0.002634046
Exp_1_Experimental_Streams,A,1,Sham,4.01,-0.014765134,0.001880994
Exp_1_Experimental_Streams,A,1,Sham,8.12,-0.004505512,-0.001848606
Exp_1_Experimental_Streams,A,1,Sham,10.21,-0.000515595,0.002171839
Exp_1_Experimental_Streams,A,1,Sham,8.96,-0.000855353,-0.00133364
Exp_1_Experimental_Streams,A,1,Sham,15.03,0.00393999,-0.002983113
Exp_1_Experimental_Streams,A,1,Sham,5.1,-0.015152902,-0.000449098
Exp_1_Experimental_Streams,A,1,Sham,4.73,-0.019332534,-0.00315074
Exp_1_Experimental_Streams,A,1,Sham,7.02,-0.004504455,-0.008247212
Exp_1_Experimental_Streams,A,1,Sham,5.46,-0.014519117,-4.57E-06
Exp_1_Experimental_Streams,A,1,Sham,5.25,-0.026554251,-0.006218557
Exp_1_Experimental_Streams,A,1,Sham,3.93,-0.022686944,0.00314722
Exp_1_Experimental_Streams,A,1,Sham,19.14,0.023161533,-0.003511214
Exp_1_Experimental_Streams,A,1,Sham,6,-0.005270991,0.004246591
Exp_1_Experimental_Streams,B,7,GH,8.62,-0.014060587,-0.001334493
Exp_1_Experimental_Streams,A,4,GH,11.32,-0.004497315,-0.01849589
Exp_1_Experimental_Streams,B,10,Sham,9.47,0.002000077,0.000979362
Exp_1_Experimental_Streams,B,10,Sham,12.24,0.013731384,-0.004208337
Exp_1_Experimental_Streams,B,10,Sham,15.66,0.022873508,-0.013276228
Exp_1_Experimental_Streams,B,10,Sham,10.07,0.019421198,-3.97E-05
Exp_1_Experimental_Streams,B,10,Sham,9.18,-0.000403162,-0.005752896
Exp_1_Experimental_Streams,B,10,Sham,12.87,0.008814223,-0.009260027
Exp_1_Experimental_Streams,B,10,Sham,7.45,0.000332936,-0.000160257
Exp_1_Experimental_Streams,B,10,Sham,6.56,-0.002450412,0.003356233
Exp_1_Experimental_Streams,B,10,Sham,9.04,0.003120991,-0.008899138
Exp_1_Experimental_Streams,B,10,Sham,9.15,0.012853958,-0.001226737
Exp_1_Experimental_Streams,B,10,Sham,3.86,0.002930237,0.014392545
Exp_1_Experimental_Streams,B,10,Sham,14.45,0.016677628,-0.000210637
Exp_1_Experimental_Streams,B,10,Sham,7.74,-0.002175603,-0.00645383
Exp_1_Experimental_Streams,B,10,Sham,9.5,0.005900461,-0.004408818
Exp_1_Experimental_Streams,B,10,Sham,11.93,0.013500029,-0.004740728
Exp_1_Experimental_Streams,B,10,Sham,13.02,0.009009715,-0.008804993
Exp_1_Experimental_Streams,B,10,Sham,21.28,0.022819992,-0.003843184
Exp_1_Experimental_Streams,B,10,Sham,12.33,0.011409488,-0.00863121
Exp_1_Experimental_Streams,B,10,Sham,5.01,-0.002021755,0.008268191
