Experiment,Treatment,Time_of_the_day,Body_mass,Tracking_session,ID,Stream_mesocosm,Movement,Habitat_Use

Exp_2_Stream_Mesocosms,GH,21,3.56,1,A3C20D,1,NA,NA

Exp_2_Stream_Mesocosms,GH,21,3.53,1,A3A49B,1,1,Open

Exp_2_Stream_Mesocosms,GH,21,3.26,1,A391F7,1,3,Boulder

Exp_2_Stream_Mesocosms,GH,21,4.88,1,A384A3,1,10,Open

Exp_2_Stream_Mesocosms,GH,21,3.6,1,A3E46F,1,1,Boulder

Exp_2_Stream_Mesocosms,GH,21,3.65,1,A3A4C6,1,0,Open

Exp_2_Stream_Mesocosms,Sham,21,7.35,1,A3CB48,2,15,Boulder

Exp_2_Stream_Mesocosms,Sham,21,6.94,1,A39BFE,2,11,Boulder

Exp_2_Stream_Mesocosms,Sham,21,7.48,1,A38E59,2,1,Open

Exp_2_Stream_Mesocosms,Sham,21,6.69,1,A3CEBD,2,5,Open

Exp_2_Stream_Mesocosms,GH,21,5.15,1,A39E67,3,NA,NA

Exp_2_Stream_Mesocosms,GH,21,5.1,1,A3CFCC,3,NA,NA

Exp_2_Stream_Mesocosms,GH,21,5.18,1,A3F324,3,NA,NA

Exp_2_Stream_Mesocosms,GH,21,5.13,1,A3F0AB,3,NA,Boulder

Exp_2_Stream_Mesocosms,GH,21,5.1,1,A39556,3,2,Open

Exp_2_Stream_Mesocosms,GH,21,5.23,1,A3C8F5,3,3,Open

Exp_2_Stream_Mesocosms,Sham,21,2.97,1,A383C5,4,NA,NA

Exp_2_Stream_Mesocosms,Sham,21,3.17,1,A3F4DF,4,NA,Boulder

Exp_2_Stream_Mesocosms,Sham,21,3.22,1,A39350,4,13,Open

Exp_2_Stream_Mesocosms,Sham,21,3.09,1,A3F0EF,4,2,Boulder

Exp_2_Stream_Mesocosms,Sham,21,3.07,1,A39589,4,1,Open

Exp_2_Stream_Mesocosms,Sham,21,2.92,1,A38DF1,4,5,Open

Exp_2_Stream_Mesocosms,GH,21,4.13,1,A394EE,5,1,Open

Exp_2_Stream_Mesocosms,GH,21,3.92,1,A3E404,5,11,Boulder

Exp_2_Stream_Mesocosms,GH,21,4.1,1,A384D8,5,12,Boulder

