Experiment,Time,Block,Stream_Mesocosm,Treatment,Position,Chironomidae,Total_Decomposition,Microbial_Decomposition,Primary_production
Exp_3_Stream_Mesocosms,T1,A,1,Sham,Upstream,81,0.02704419,0.024831595,2.6
Exp_3_Stream_Mesocosms,T1,A,1,Sham,Middle,116,0.02501705,0.019085087,3.713333333
Exp_3_Stream_Mesocosms,T1,A,1,Sham,Downstream,132,0.019648753,0.020172856,2.546666667
Exp_3_Stream_Mesocosms,T1,A,2,GH,Upstream,62,0.017318737,0.013944947,4.363333333
Exp_3_Stream_Mesocosms,T1,A,2,GH,Middle,105,0.038512728,0.034394318,2.71
Exp_3_Stream_Mesocosms,T1,A,2,GH,Downstream,99,0.02287783,0.020405262,2.663333333
Exp_3_Stream_Mesocosms,T1,A,3,GH_LD,Upstream,48,0.034204654,0.028930173,3.326666667
Exp_3_Stream_Mesocosms,T1,A,3,GH_LD,Middle,61,0.030890814,0.028935639,4.446666667
Exp_3_Stream_Mesocosms,T1,A,3,GH_LD,Downstream,165,0.051361656,0.029710842,4.996666667
Exp_3_Stream_Mesocosms,T1,A,4,NF,Upstream,38,0.025458916,0.014494785,2.56
Exp_3_Stream_Mesocosms,T1,A,4,NF,Middle,63,0.031934726,0.031575153,3.08
Exp_3_Stream_Mesocosms,T1,A,4,NF,Downstream,35,0.018940877,0.019364725,2.436666667
Exp_3_Stream_Mesocosms,T1,B,5,NF,Upstream,45,0.015545467,0.012214203,2.306666667
Exp_3_Stream_Mesocosms,T1,B,5,NF,Middle,88,0.03010185,0.018751213,3.406666667
Exp_3_Stream_Mesocosms,T1,B,5,NF,Downstream,111,0.032260658,0.027983195,1.823333333
Exp_3_Stream_Mesocosms,T1,B,6,Sham,Upstream,74,0.020508709,0.014897345,3.536666667
Exp_3_Stream_Mesocosms,T1,B,6,Sham,Middle,133,0.025380357,0.02332494,1.983333333
Exp_3_Stream_Mesocosms,T1,B,6,Sham,Downstream,197,0.019743787,0.023392281,3.463333333
Exp_3_Stream_Mesocosms,T1,B,7,GH,Upstream,48,0.030590744,0.025950162,5.076666667
Exp_3_Stream_Mesocosms,T1,B,7,GH,Middle,46,0.017851363,0.014019611,4.176666667
Exp_3_Stream_Mesocosms,T1,B,7,GH,Downstream,30,0.036341172,0.033665892,4.133333333
Exp_3_Stream_Mesocosms,T1,B,8,GH_LD,Upstream,32,0.037168105,0.029417693,4.406666667
Exp_3_Stream_Mesocosms,T1,B,8,GH_LD,Middle,57,0.025840961,0.017376708,4.503333333
Exp_3_Stream_Mesocosms,T1,B,8,GH_LD,Downstream,59,0.037849372,0.029119031,4.67
Exp_3_Stream_Mesocosms,T1,C,9,GH_LD,Upstream,44,0.026577617,0.014897345,3.453333333
Exp_3_Stream_Mesocosms,T1,C,9,GH_LD,Middle,134,0.038263892,0.036592171,6.94
Exp_3_Stream_Mesocosms,T1,C,9,GH_LD,Downstream,52,0.029317138,0.03008294,9.73
Exp_3_Stream_Mesocosms,T1,C,10,NF,Upstream,125,0.03788671,0.02999717,2.016666667
Exp_3_Stream_Mesocosms,T1,C,10,NF,Middle,54,0.015233211,0.014377396,3.35
Exp_3_Stream_Mesocosms,T1,C,10,NF,Downstream,62,0.021374928,0.015924256,1.853333333
Exp_3_Stream_Mesocosms,T1,C,11,Sham,Upstream,63,0.039368525,0.032827234,3.893333333
Exp_3_Stream_Mesocosms,T1,C,11,Sham,Middle,39,0.022749547,0.0178681,6.123333333
Exp_3_Stream_Mesocosms,T1,C,11,Sham,Downstream,52,0.038169796,0.029601836,6.486666667
Exp_3_Stream_Mesocosms,T1,C,12,GH,Upstream,53,0.01468391,0.020122576,3.673333333
Exp_3_Stream_Mesocosms,T1,C,12,GH,Middle,80,0.026767822,0.029710842,8.176666667
Exp_3_Stream_Mesocosms,T1,C,12,GH,Downstream,58,0.023542129,0.018328578,6.433333333
Exp_3_Stream_Mesocosms,T1,D,13,GH,Upstream,51,0.041918432,0.029703612,2.653333333
Exp_3_Stream_Mesocosms,T1,D,13,GH,Middle,77,0.02179715,0.018707905,5.076666667
Exp_3_Stream_Mesocosms,T1,D,13,GH,Downstream,85,0.031177142,0.033696822,4.716666667
Exp_3_Stream_Mesocosms,T1,D,14,GH_LD,Upstream,88,0.025302561,0.019080432,6.643333333
Exp_3_Stream_Mesocosms,T1,D,14,GH_LD,Middle,166,0.034143491,0.026315459,5.63
Exp_3_Stream_Mesocosms,T1,D,14,GH_LD,Downstream,53,0.017318737,0.021584197,4.36
