Experiment,Block,Stream_Mesocosm,Treatment,Treatment_Mesocosm,Body_Mass,N_Excretion,P_Excretion
Exp_3_Stream_Mesocosms,A,1,Sham,Sham,4.22,9.750852908,0.286345886
Exp_3_Stream_Mesocosms,A,1,Sham,Sham,3.16,5.747058131,0.461789871
Exp_3_Stream_Mesocosms,A,1,Sham,Sham,5.39,5.120269793,0.905156155
Exp_3_Stream_Mesocosms,A,1,Sham,Sham,6.37,7.164706576,0.341480745
Exp_3_Stream_Mesocosms,A,1,Sham,Sham,2.55,3.937632384,0.230775363
Exp_3_Stream_Mesocosms,A,1,Sham,Sham,4.34,4.866064092,0.213269012
Exp_3_Stream_Mesocosms,A,2,GH,GH,6.46,7.682404181,0.222037766
Exp_3_Stream_Mesocosms,A,2,GH,GH,3.9,6.700191309,0.343174144
Exp_3_Stream_Mesocosms,A,2,GH,GH,8.04,7.896611946,0.235144728
Exp_3_Stream_Mesocosms,A,2,GH,GH,4.3,9.694577195,0.57237775
Exp_3_Stream_Mesocosms,A,2,GH,GH,5.39,7.52604288,0.304057254
Exp_3_Stream_Mesocosms,A,2,GH,GH,5.34,10.79344635,0.258020315
Exp_3_Stream_Mesocosms,A,3,GH,GH_LD,4.32,5.431236674,0.587385652
Exp_3_Stream_Mesocosms,A,3,GH,GH_LD,5.46,5.498753117,0.199099027
Exp_3_Stream_Mesocosms,A,3,GH,GH_LD,6.82,8.122406639,0.246232097
Exp_3_Stream_Mesocosms,A,3,GH,GH_LD,3.77,3.04127028,0.384823824
Exp_3_Stream_Mesocosms,A,3,GH,GH_LD,6.58,10.81653823,0.607605408
Exp_3_Stream_Mesocosms,B,6,Sham,Sham,5.08,9.533092423,0.241868963
Exp_3_Stream_Mesocosms,B,6,Sham,Sham,2.55,2.852634468,0.341551291
Exp_3_Stream_Mesocosms,B,6,Sham,Sham,3.35,5.481621983,0.514072292
Exp_3_Stream_Mesocosms,B,6,Sham,Sham,4.95,10.45123721,0.41193451
