Experiment,Time,Block,Stream_Mesocosm,Treatment,NH4_Concentration,PO4_Concentration
Exp_3_Stream_Mesocosms,T1,A,1,SHAM,15.6,8.5
Exp_3_Stream_Mesocosms,T1,A,2,GH,28.4,9.1
Exp_3_Stream_Mesocosms,T1,A,3,GH_LD,20.3,17.8
Exp_3_Stream_Mesocosms,T1,A,4,NF,20.2,7.6
Exp_3_Stream_Mesocosms,T1,B,5,NF,17.4,7.6
Exp_3_Stream_Mesocosms,T1,B,6,SHAM,23.4,7.5
Exp_3_Stream_Mesocosms,T1,B,7,GH,18.7,47.3
Exp_3_Stream_Mesocosms,T1,B,8,GH_LD,20,5.3
Exp_3_Stream_Mesocosms,T1,C,9,GH_LD,32.4,24.2
Exp_3_Stream_Mesocosms,T1,C,10,NF,55.1,20.9
Exp_3_Stream_Mesocosms,T1,C,11,SHAM,NA,7.3
Exp_3_Stream_Mesocosms,T1,C,12,GH,29.5,7.4
Exp_3_Stream_Mesocosms,T1,D,13,GH,22.5,14.1
Exp_3_Stream_Mesocosms,T1,D,14,GH_LD,NA,64.3
Exp_3_Stream_Mesocosms,T1,D,15,NF,25.4,5.5
Exp_3_Stream_Mesocosms,T1,D,16,SHAM,24.4,14.9
Exp_3_Stream_Mesocosms,T1,E,17,SHAM,22.6,8.1
Exp_3_Stream_Mesocosms,T1,E,18,GH,21.5,8.1
Exp_3_Stream_Mesocosms,T1,E,19,GH_LD,25.6,10.8
Exp_3_Stream_Mesocosms,T1,E,20,NF,26.7,8.6
Exp_3_Stream_Mesocosms,T2,A,1,SHAM,54.7,14.69
Exp_3_Stream_Mesocosms,T2,A,2,GH,44.2,17.59
Exp_3_Stream_Mesocosms,T2,A,3,GH_LD,74.57,25.29
Exp_3_Stream_Mesocosms,T2,A,4,NF,56.2,13.14
Exp_3_Stream_Mesocosms,T2,B,5,NF,60.5,14.64
Exp_3_Stream_Mesocosms,T2,B,6,SHAM,33.7,16.08
Exp_3_Stream_Mesocosms,T2,B,7,GH,41.7,12.37
Exp_3_Stream_Mesocosms,T2,B,8,GH_LD,64.5,11.31
Exp_3_Stream_Mesocosms,T2,C,9,GH_LD,55.3,17.73
Exp_3_Stream_Mesocosms,T2,C,10,NF,33.4,11.97
Exp_3_Stream_Mesocosms,T2,C,11,SHAM,35.3,11.32
Exp_3_Stream_Mesocosms,T2,C,12,GH,42.1,17.83
Exp_3_Stream_Mesocosms,T2,D,13,GH,38.6,11.23
Exp_3_Stream_Mesocosms,T2,D,14,GH_LD,34.2,13.71
Exp_3_Stream_Mesocosms,T2,D,15,NF,31.4,10.89
Exp_3_Stream_Mesocosms,T2,D,16,SHAM,31.5,12.49
Exp_3_Stream_Mesocosms,T2,E,17,SHAM,33.2,10.58
Exp_3_Stream_Mesocosms,T2,E,18,GH,27.1,16.48
Exp_3_Stream_Mesocosms,T2,E,19,GH_LD,71.55,14.44
Exp_3_Stream_Mesocosms,T2,E,20,NF,87.7,16.34
